frec(GHz)   Temperatura[mK]   cont_sinlineas
      90.8758        5.00495     -0.0145352
      90.9070        4.87532     -0.0574439
      90.9383        2.04869      -0.222419
      90.9695      -0.322695     -0.0141213
      91.0008       0.418161       0.418161
      91.0320       0.679590       0.679590
      91.0633      -0.872494      -0.872494
      91.0945      -0.367896      -0.287567
      91.1258        1.32731       0.150411
      91.1570        1.84267       0.250960
      91.1883      -0.827165      -0.205955
      91.2195      -0.359537      -0.359537
      91.2508       0.249348       0.249348
      91.2820       0.899763       0.899763
      91.3133      -0.276335      -0.276335
      91.3445      -0.537001      -0.537001
      91.3758       0.450776     -0.0889649
      91.4070        3.56169       0.194985
      91.4383        1.55827       0.192554
      91.4695        1.45803      0.0789919
      91.5008      -0.328701      -0.328701
      91.5320      -0.372380      -0.372380
      91.5633       0.127129       0.127129
      91.5945       0.506377       0.506377
      91.6258      -0.408133      -0.408133
      91.6570       0.790196       0.790196
      91.6883      -0.543516      -0.543516
      91.7195      0.0930176      0.0930176
      91.7508     -0.0686073     -0.0686073
      91.7820       0.231458       0.231458
      91.8133      -0.717302      -0.717302
      91.8445      0.0163686      0.0163686
      91.8758       0.688093       0.434243
      91.9070        4.11976       0.229563
      91.9383        4.66351      -0.110049
      91.9695        5.91302      -0.141764
      92.0008        3.90972       0.118521
      92.0320        1.67579      0.0156906
      92.0633     -0.0614995     -0.0614995
      92.0945      -0.642016      -0.642016
      92.1258       0.946211       0.946211
      92.1570      -0.291632      -0.291632
      92.1883     -0.0274111     -0.0274111
      92.2195      -0.126757      -0.126757
      92.2508      -0.927585      0.0785751
      92.2820       0.548932     -0.0458422
      92.3133     -0.0122344    -0.00592777
      92.3445      0.0487579      0.0487579
      92.3758      0.0724359      0.0724359
      92.4070     -0.0624326      0.0943238
      92.4383       0.907704     -0.0964286
      92.4695       0.537353      -0.133046
      92.5008      -0.276322      -0.276322
      92.5320       0.646414       0.646414
      92.5633      -0.463061      -0.463061
      92.5945       0.300559       0.300559
      92.6258       0.220684       0.220684
      92.6570      -0.442695      -0.442695
      92.6883      0.0197967      0.0197967
      92.7195      -0.616940      -0.616940
      92.7508       0.682277       0.682277
      92.7820       0.758734       0.758734
      92.8133      -0.721077      -0.721077
      92.8445      -0.204801      -0.204801
      92.8758       0.199740       0.199740
      92.9070      -0.253968      -0.253968
      92.9383       0.542285       0.542285
      92.9695      -0.640826      -0.640826
      93.0008       0.283672       0.283672
      93.0320        1.41262      0.0846843
      93.0633        3.85535      0.0591587
      93.0945        5.48102      -0.103211
      93.1258        1.53855     -0.0606077
      93.1570       0.733052     -0.0905868
      93.1883      -0.381671       0.133135
      93.2195       0.375992       0.375992
      93.2508     -0.0149323     -0.0149323
      93.2820      -0.658547      -0.658547
      93.3133       0.159921       0.159921
      93.3445       0.123096       0.123096
