frec(GHz)	Temperatura[mK]	cont_sinlineas
76.446	1.71704	0.100562
76.477	0.0464975	0.0464975
76.509	0.382024	0.382024
76.54	-0.842722	-0.842722
76.571	0.407849	0.407849
76.602	0.348889	0.348889
76.634	0.213623	0.213623
76.665	-0.815621	-0.815621
76.696	0.22436	0.22436
76.727	-0.180261	-0.180261
76.759	0.176762	0.176762
76.79	0.541463	0.541463
76.821	-0.129536	-0.129536
76.852	-1.10851	-1.10851
76.884	0.769107	0.769107
76.915	0.590387	0.590387
76.946	-0.539016	-0.539016
76.977	-0.334716	-0.334716
77.009	0.906295	0.906295
77.04	-0.470462	-0.470462
77.071	-0.778935	-0.778935
77.102	0.17473	0.17473
77.134	0.77024	0.77024
77.165	-0.239035	-0.239035
77.196	0.143452	0.143452
77.227	0.275774	0.275774
77.259	-0.744928	-0.744928
77.29	-0.190325	-0.190325
77.321	0.302929	0.302929
77.352	1.01605	1.01605
77.384	-0.881372	-0.881372
77.415	-0.579454	-0.579454
77.446	0.492623	0.492623
77.477	0.953808	0.953808
77.509	-0.510276	-0.510276
77.54	-1.32253	-1.32253
77.571	0.562786	0.562786
77.602	0.615658	0.615658
77.634	0.328848	0.328848
77.665	-0.346351	-0.346351
77.696	-0.303132	-0.303132
77.728	-0.108085	-0.108085
77.759	0.147745	0.147745
77.79	0.249166	0.249166
77.821	-0.17615	-0.17615
77.853	0.147466	0.147466
77.884	-0.0540941	-0.0540941
77.915	-0.0957257	-0.0957257
77.946	-0.997822	-0.0338571
77.978	0.525003	0.112612
78.009	-0.889046	0.0219666
78.04	-0.79512	-0.134753
78.071	-0.287442	-0.287442
78.103	0.376052	0.376052
78.134	0.570819	0.112149
78.165	0.855718	-0.022525
78.196	0.24563	-0.22988
78.228	-0.00611541	-0.0313919
78.259	0.127947	0.127947
78.29	0.624034	0.624034
78.321	-0.711202	-0.711202
78.353	0.111433	0.111433
78.384	0.103582	0.103582
78.415	-0.258436	-0.258436
78.446	-0.0218576	-0.0218576
78.478	-0.23377	-0.23377
78.509	0.289866	0.289866
78.54	0.305907	0.305907
78.571	0.23815	0.23815
78.603	-0.174249	-0.174249
78.634	-0.986938	-0.986938
78.665	0.753012	0.753012
78.696	0.477065	0.477065
78.728	-0.452408	-0.452408
78.759	-0.329482	-0.329482
78.79	-0.0471871	-0.0471871
78.821	0.387677	0.387677
78.853	0.171231	0.171231
78.884	-0.173352	-0.173352
78.915	0.0578685	0.0578685
78.946	-0.267502	-0.267502
78.978	0.11025	0.11025
79.009	0.0324301	0.0324301
79.04	-0.0649468	-0.0649468
79.071	-0.150099	-0.150099
79.103	0.557093	0.557093
79.134	0.0123201	0.0123201
79.165	-0.143098	-0.143098
79.196	-0.796186	-0.796186
79.228	0.550273	0.550273
79.259	-0.103292	-0.103292
79.29	0.313324	0.313324
79.321	0.0485659	0.0485659
79.353	0.126444	0.126444
79.384	-0.873896	-0.873896
79.415	-0.0627285	-0.0627285
79.446	0.976316	0.976316
79.478	0.232334	0.232334
79.509	-0.887446	-0.887446
79.54	0.0945117	0.0945117
79.571	0.36409	0.36409
79.603	-0.0243141	-0.0243141
79.634	-0.348476	-0.348476
79.665	-0.0761114	-0.0761114
79.697	0.246119	0.246119
79.728	0.205656	0.205656
79.759	-0.0233459	-0.0233459
79.79	-0.153367	-0.153367
79.822	-0.0826691	-0.0826691
79.853	0.374219	0.0233007
79.884	0.680732	0.0357044
79.915	0.943597	0.00876138
79.947	0.740518	-0.00683644
79.978	0.529487	0.00848687
80.009	0.0457157	0.0457157
80.04	0.0062207	0.0062207
80.072	-0.0940294	-0.0940294
80.103	-0.0887359	-0.0887359
80.134	0.0884393	0.0884393
80.165	0.130345	0.130345
80.197	0.0012061	0.0012061
80.228	0.024689	0.024689
80.259	-0.143328	-0.143328
80.29	0.0671	0.0671
80.322	-0.295796	-0.295796
80.353	0.0940941	0.0940941
80.384	0.262026	0.262026
80.415	-0.226367	0.150349
80.447	-0.594573	-0.217183
80.478	0.340838	-0.0810633
80.509	0.821821	0.0181631
80.54	0.296289	0.0431691
80.572	0.0501162	0.0315981
80.603	0.0193029	0.0193029
80.634	-0.0812094	-0.0812094
80.665	-0.149443	-0.149443
80.697	0.0548218	0.0548218
80.728	0.261113	0.261113
80.759	0.076923	0.076923
80.79	-0.241316	-0.241316
80.822	-0.125823	-0.125823
80.853	0.0976783	0.0976783
80.884	-0.0892361	-0.0892361
80.915	0.221729	0.221729
80.947	0.189582	0.189582
80.978	-0.2239	-0.2239
81.009	-0.250925	-0.250925
81.04	0.0482505	0.0482505
81.072	0.0627795	0.0627795
81.103	0.186983	0.186983
81.134	0.00641766	0.00641766
81.165	-0.0443847	-0.0443847
81.197	-0.044434	-0.044434
81.228	-0.10197	-0.10197
81.259	0.0266863	0.0266863
81.29	0.160968	0.160968
81.322	-0.0087789	-0.0087789
81.353	-0.133271	-0.133271
81.384	-0.126677	-0.126677
81.415	0.166766	0.166766
81.447	0.390096	0.0545905
81.478	0.398357	-0.0190285
81.509	0.333447	-0.0430318
81.54	0.222258	0.0321183
81.572	0.189672	0.0257664
81.603	-0.0227513	-0.0227513
81.634	-0.131966	-0.131966
81.665	0.157359	0.157359
81.697	0.00985754	0.00985754
81.728	-0.229629	-0.229629
81.759	0.0984041	0.0984041
81.79	0.125082	0.125082
81.822	-0.189241	0.00820747
81.853	1.85804	-0.0513431
81.884	3.54929	0.00259626
81.915	0.852429	0.0168846
81.947	-0.090698	-0.00823039
81.978	-0.06621	-0.06621
82.009	0.0139234	0.0139234
82.04	0.342451	0.0226126
82.072	1.00561	0.0113991
82.103	0.929876	-0.00458884
82.134	-0.000611305	-0.00434899
